# h1 | h2 | s1 | s2 | a1 | a2 | b1 | b2 | z1_0 | z2_0
0.2618203845759157 | 0.6907964884794023 | 0.8972743953939848 | 0.4001283275283162 | 0.5573602797978124 | 0.6589673090162838 | 0.7219317118635304 | 0.9159775407448904 | 0.30318558228143755 | 0.2749780677118556
0.07525678628564625 | 0.057861043817835967 | 0.36449330680756975 | 0.6868534395199978 | 0.5139023443224109 | 0.5508279925854822 | 0.05670001697553828 | 0.9776865726818329 | 0.729082668670386 | 0.9416686521452448
0.7078530891482145 | 0.20331092093437808 | 0.006789435199423655 | 0.8594781165038062 | 0.654949548354084 | 0.14479257281416813 | 0.08764049094507598 | 0.9551822359950103 | 0.9929488275744759 | 0.7768462101096824
0.5983247054859381 | 0.443829667176754 | 0.8377749262258822 | 0.6470717347205587 | 0.8178354918752337 | 0.19559238684667124 | 0.38531269226801645 | 0.09801323940494888 | 0.8909247139251317 | 0.16307065504560025
0.8522367644064502 | 0.5847400105498685 | 0.7716090167547375 | 0.47025921529208226 | 0.6354982188118578 | 0.9971326913590147 | 0.2911384505786765 | 0.6285309997872117 | 0.7563301055617643 | 0.7164988721495461
0.34130772557539624 | 0.9668212013712449 | 0.33419498627173605 | 0.4840905006624687 | 0.5394944217356183 | 0.7139982454031333 | 0.23321357796567432 | 0.33170766635310855 | 0.16908353171105228 | 0.31362068554117695
0.45123928568979876 | 0.21212184979587 | 0.13683349544141432 | 0.1114582370391245 | 0.9712208899698273 | 0.3401826107022121 | 0.25429639814536453 | 0.3547074908880683 | 0.6237757813149948 | 0.6657129921494556
0.9453510547272373 | 0.13794724011939086 | 0.7894068926819733 | 0.4668646949493843 | 0.3229613790234962 | 0.6076143529662822 | 0.6245173794532306 | 0.5196468455359902 | 0.7066427400784318 | 0.8384065997381456
0.28760310391462685 | 0.5795498323492321 | 0.23057759648799758 | 0.14233063793111167 | 0.15422728264889785 | 0.07857076275381436 | 0.021022519543312024 | 0.8563094673488834 | 0.36920146103137563 | 0.8440727689321569
0.307194241067435 | 0.7030691212601324 | 0.7102027112617031 | 0.1450053883187571 | 0.31796671318505787 | 0.2901892376347659 | 0.6012184918814973 | 0.19846387556083234 | 0.39594372296604097 | 0.456237381038765
0.7724265791235433 | 0.19648235032190564 | 0.9272260305606826 | 0.7284878594630204 | 0.9994735401021346 | 0.885075689068251 | 0.16082120385093956 | 0.3711168161286337 | 0.36514271073922244 | 0.8846174489988903
0.10263317071758349 | 0.5396620765153606 | 0.5250047200744206 | 0.9915210650347501 | 0.05238978724425758 | 0.19718757257187758 | 0.10603566102107176 | 0.38793426066895254 | 0.10453305357180787 | 0.5816556819476424
0.9160290670959335 | 0.8011142300960349 | 0.2535429801787811 | 0.5792592423526791 | 0.37000302472690494 | 0.718614423503132 | 0.7302457937987911 | 0.9434931573437741 | 0.7988669776381455 | 0.6644392348616586
0.8746517003246158 | 0.5506779425631564 | 0.8377552992117118 | 0.5542305139323024 | 0.1172874486788108 | 0.051344621436300586 | 0.40058657399396114 | 0.3922220002761042 | 0.8793466948735439 | 0.8178661556976199
0.6603766230694654 | 0.2404288117475437 | 0.43687916255814463 | 0.09838563048855498 | 0.23410294719332325 | 0.12274454677441338 | 0.10424663066050854 | 0.2698513222704867 | 0.1687422422111864 | 0.9301671346052537
0.06995342541889615 | 0.10421851974913965 | 0.24266554341041557 | 0.8185764968215873 | 0.024562907474842577 | 0.9087563251996094 | 0.09515157040542876 | 0.1997226835988306 | 0.3836183474650765 | 0.2771862182131437
0.3630768921052402 | 0.8101000967980592 | 0.5149321478158594 | 0.47795753282181896 | 0.10187220585727408 | 0.005735745070879483 | 0.5427897265107536 | 0.6021426504807867 | 0.24147532545963768 | 0.6193818894344753
0.9546626353415425 | 0.42308759377138017 | 0.11095592503955143 | 0.42474233514632753 | 0.9914736041674852 | 0.4630063510377025 | 0.10166239472428529 | 0.8373148618468627 | 0.8820479437249381 | 0.8590254510350254
