# Winner ID (0 or 1) | h1 | h2 | s1 | s2 | a1 | a2 | b1 | b2 | z1_0 | z2_0 
0 | 0.2618203845759157 | 0.6907964884794023 | 0.8972743953939848 | 0.4001283275283162 | 0.5573602797978124 | 0.6589673090162838 | 0.7219317118635304 | 0.9159775407448904 | 0.30318558228143755 | 0.2749780677118556
1 | 0.07525678628564625 | 0.057861043817835967 | 0.36449330680756975 | 0.6868534395199978 | 0.5139023443224109 | 0.5508279925854822 | 0.05670001697553828 | 0.9776865726818329 | 0.729082668670386 | 0.9416686521452448
1 | 0.7078530891482145 | 0.20331092093437808 | 0.006789435199423655 | 0.8594781165038062 | 0.654949548354084 | 0.14479257281416813 | 0.08764049094507598 | 0.9551822359950103 | 0.9929488275744759 | 0.7768462101096824
0 | 0.5983247054859381 | 0.443829667176754 | 0.8377749262258822 | 0.6470717347205587 | 0.8178354918752337 | 0.19559238684667124 | 0.38531269226801645 | 0.09801323940494888 | 0.8909247139251317 | 0.16307065504560025
0 | 0.8522367644064502 | 0.5847400105498685 | 0.7716090167547375 | 0.47025921529208226 | 0.6354982188118578 | 0.9971326913590147 | 0.2911384505786765 | 0.6285309997872117 | 0.7563301055617643 | 0.7164988721495461
1 | 0.34130772557539624 | 0.9668212013712449 | 0.33419498627173605 | 0.4840905006624687 | 0.5394944217356183 | 0.7139982454031333 | 0.23321357796567432 | 0.33170766635310855 | 0.16908353171105228 | 0.31362068554117695
0 | 0.45123928568979876 | 0.21212184979587 | 0.13683349544141432 | 0.1114582370391245 | 0.9712208899698273 | 0.3401826107022121 | 0.25429639814536453 | 0.3547074908880683 | 0.6237757813149948 | 0.6657129921494556
0 | 0.9453510547272373 | 0.13794724011939086 | 0.7894068926819733 | 0.4668646949493843 | 0.3229613790234962 | 0.6076143529662822 | 0.6245173794532306 | 0.5196468455359902 | 0.7066427400784318 | 0.8384065997381456
1 | 0.28760310391462685 | 0.5795498323492321 | 0.23057759648799758 | 0.14233063793111167 | 0.15422728264889785 | 0.07857076275381436 | 0.021022519543312024 | 0.8563094673488834 | 0.36920146103137563 | 0.8440727689321569
0 | 0.307194241067435 | 0.7030691212601324 | 0.7102027112617031 | 0.1450053883187571 | 0.31796671318505787 | 0.2901892376347659 | 0.6012184918814973 | 0.19846387556083234 | 0.39594372296604097 | 0.456237381038765
